ID;Image;Nom;test;Rí©fí©rence;Categorie;Fournisseur;Prix TTC;Prix final;Etat
21;http://pprod.koomaakiti.com/img/p/21/21-a.jpg;Lait en poudre Bon Lait - Lot de 200 sachets de 22,5g;Délicieux dans les boissons chaudes et géniales en cuisine ! Ce lot de 200 sachets est idéal pour la famille;l-lait-200;Boissons;Alpha;10;10;1
22;http://pprod.koomaakiti.com/img/p/22/22-a.jpg;Lait en poudre Bonjour - Boite de 1Kg;Pour être en forme dès le matin, c'est l'idéal pour le petit déjeuner.;l-lait-1;Boissons;Alpha;10;10;1
23;http://pprod.koomaakiti.com/img/p/23/23-a.jpg;Lait en poudre Bonjour - Lot de 24 boites de 1Kg;Pour être en forme dès le matin, c'est l'idéal pour le petit déjeuner. Ce lot de 24 boites est très intéressant en rapport de qualité/prix.;l-lait-24;Boissons;Alpha;10;10;1
24;http://pprod.koomaakiti.com/img/p/24/24-a.jpg;Lait en poudre Turkey - Boite de 1Kg;Pour être en forme dès le matin, c'est l'idéal pour le petit déjeuner. Ce lot de 24 boites est très intéressant en rapport de qualité/prix.;l-lait-1;Boissons;Alpha;10;10;1
25;http://pprod.koomaakiti.com/img/p/25/25-a.jpg;Lait en poudre Turkey - Lot de 24 boites de 1Kg;Délicieux dans les boissons chaudes et géniales en cuisine. Ce lot de 24 boites est idéal pour la famille.;l-lait-24;Boissons;Alpha;10;10;1
26;http://pprod.koomaakiti.com/img/p/26/26-a.jpg;Lait en poudre pour cérémonie LP - Sac de 25Kg;Fabriqué à base de lait frais entier ; Il est composé de seulement 26% de matière grasse et Idéal pour les cérémonies. Conserver dans un endroit sec;l-lait-25;Boissons;Alpha;10;10;1
27;http://pprod.koomaakiti.com/img/p/27/27-a.jpg;Riz thaï bara bara Libidor 25KG;Riz cassé produit en Thaïlande et parfumé au jasmin. Existe en sac de 50kg ;e-riz-25;Epicerie;Alpha;10;10;1
28;http://pprod.koomaakiti.com/img/p/28/28-a.jpg;Riz thaï bara bara Libidor 50KG;Riz cassé produit en Thaïlande et parfumé au jasmin. Existe en sac de 25kg.;e-riz-50;Epicerie;Alpha;10;10;1
29;http://pprod.koomaakiti.com/img/p/29/29-a.jpg;Riz blanc;Produit en Guiéee;e-riz-50;Epicerie;Alpha;10;10;1
30;http://pprod.koomaakiti.com/img/p/30/30-a.jpg;Riz SIAM;Produit en Guinée. Idéal pour cuisiner le riz gras.;e-riz-50;Epicerie;Alpha;10;10;1
31;http://pprod.koomaakiti.com/img/p/31/31-a.jpg;Cacao en poudre Ovaltine 400g;Fortifié en vitamine et minéraux, l'arôme et la force du cacao sont concentrés dans cette poudre. Le cacao en poudre Ovaltine peut être consommé chaud ou froid.;b-cac-400;Boissons;Alpha;10;10;1
32;http://pprod.koomaakiti.com/img/p/32/32-a.jpg;Cacao en poudre Ovaltine 18g;Fortifié en vitamine et minéraux, l'arôme et la force du cacao sont concentrés dans cette poudre. Le cacao en poudre Ovaltine peut être consommé chaud ou froid.;b-cac-18;Boissons;Alpha;10;10;1
33;http://pprod.koomaakiti.com/img/p/33/33-a.jpg;Café en poudre Nescafé - Boite de 120 sticks de 20g;Composé de grains d'arabica et de robusta torréfiés et sélectionnés, le café en poudre Nescafé offre un goût intense et corsé. Peux être préparé avec de l’eau ou du lait. Utiliser une cuillère à café bombée de poudre Nescafé pour 100ml d'eau ou de lait frémissant;b-caf-20;Boissons;Alpha;10;10;1
34;http://pprod.koomaakiti.com/img/p/34/34-a.jpg;Café en poudre Nescafé - Boite de 200g;Composé de grains d'arabica et de robusta torréfiés et sélectionnés, le café en poudre Nescafé offre un goût intense et corsé. Peux être préparé avec de l’eau ou du lait. Utiliser une cuillère à café bombée de poudre Nescafé pour 100ml d'eau ou de lait frémissant.;b-caf-200;Boissons;Alpha;10;10;1
35;http://pprod.koomaakiti.com/img/p/35/35-a.jpg;Margarine Jadida - Pot de 1Kg;Utilisable pour le petit déjeuner, le goûter et pour la préparation de méchouis, de gâteaux, de cakes. Composé d'huile de soja et de citron, d'œufs, d'eau distillée, de vinaigre de cidre, de sucre, de sel, de farine d'oignons, d'arômes naturelles et de colorant naturel.;e-mag-1;Epicerie;Alpha;10;10;1
36;http://pprod.koomaakiti.com/img/p/36/36-a.jpg;Beurre en plaquette Président 200g;Beurre produit en France. Son mélange unique de crèmes, son origine française et son expertise permettent d'offrir le goût authentique d'un vrai beurre.;e-beu-200;Epicerie;Alpha;10;10;1
37;http://pprod.koomaakiti.com/img/p/37/37-a.jpg;Beurre en plaquette Elle & Vire 200g;Beurre produit en France à teneur réduite en matière grasse. Utilisable en tartine et en cuisine;e-beu-200;Epicerie;Alpha;10;10;1
38;http://pprod.koomaakiti.com/img/p/38/38-a.jpg;Mayonnaise Bama - Pot de 946Ml;Mayonnaise riche et onctueuse. Composée d'huile de soja et de citron , d'œufs, d'eau distillée, de vinaigre de cidre, de sucre,  de sel , d'oignon et d'arômes naturelles.Conserver au frais après ouverture;e-may-946;Epicerie;Alpha;10;10;1
39;http://pprod.koomaakiti.com/img/p/39/39-a.jpg;Fromage Vache qui rit - Boite de 120g;Fromage allégé en matières grasses utilisant des ingrédients de qualité. Contribue au bon équilibre alimentaire. Une portion est composée de 100mg de calcium et de seulement 19% de matière grasse.;e-from-120;Epicerie;Alpha;10;10;1
40;http://pprod.koomaakiti.com/img/p/40/40-a.jpg;Thé Lipton Yellow Label - Boite de 100 sachets;Véritable référence gustative, le thé Lipton Yellow allie les vertus stimulantes de la théine aux bienfaits à long terme des antioxydants (prévention contre le vieillissement des cellules et contre certains cancers). Emballé en sachet individuel,  permettant de conserve parfaitement les saveurs du thé, sa préparation est des plus pratiques;b-the-100;Boissons;Alpha;10;10;1
41;http://pprod.koomaakiti.com/img/p/41/41-a.jpg;Thé Bravo - Boite de 100 sachets;Thé en sachet, paquet de 100.;b-the-100;Boissons;Alpha;10;10;1
42;http://pprod.koomaakiti.com/img/p/42/42-a.jpg;Thé Akbar - Boite de 100 sachets;Thé Ceylan produit au Sri Lanka.;b-the-100;Boissons;Alpha;10;10;1
43;http://pprod.koomaakiti.com/img/p/43/43-a.jpg;Thé Alokozay - Boite de 100 sachets;Thé noir en sachet, paquet de 100.;b-the-100;Boissons;Alpha;10;10;1
44;http://pprod.koomaakiti.com/img/p/44/44-a.jpg;Confiture Sano pot de 370g parfum Fraise;Elaborée à partir de fruits, cette confiture ne contient pas de saccharose et  elle est composée de Fraise (50%), jus de raisin concentré, pectine de fruits, jus de citron concentré et citrate de calcium.;e-con-370;Epicerie;Alpha;10;10;1
45;http://pprod.koomaakiti.com/img/p/45/45-a.jpg;Confiture Sano pot de 370g parfum Cerise;Elaborée à partir de fruit, cette confiture ne contient pas de saccharose et  elle est composée de cerise (50%), jus de raisin concentré, pectine de fruits, jus de citron concentré et citrate de calcium.;e-con-371;Epicerie;Alpha;10;10;1
46;http://pprod.koomaakiti.com/img/p/46/46-a.jpg;Miel de Guinée - Bouteille de 1,4KG;Produit en Guinée;e-mie-1.4;Epicerie;Alpha;10;10;1
47;http://pprod.koomaakiti.com/img/p/47/47-a.jpg;Vinaigre blanc Sano 1L;Vinaigre d’alcool comestible à faible teneur en acide acétique.;e-vin-1;Epicerie;Alpha;10;10;1
48;http://pprod.koomaakiti.com/img/p/48/48-a.jpg;Spaghetti Gino 500g;Pâtes alimentaires d'origine italienne, à base de semoule de blé dur, moulées en forme de cylindres pleins de quelques millimètres de diamètreSon utilisation avec juste quelques ingrédients vous permet de faire un repas qui vous transportera en Italie;e-pat-500;Epicerie;Alpha;10;10;1
49;http://pprod.koomaakiti.com/img/p/49/49-a.jpg;Sardine Pimenté Princesse - Boite de 125g;Sardine à l'huile végétale riche en Omega 3.Existe aussi en nature Petit poisson de la famille des Clupéidés, qui vit en bancs et dont la chair est estimée. ;e-sar-125;Epicerie;Alpha;10;10;1
50;http://pprod.koomaakiti.com/img/p/50/50-a.jpg;Sardine Nature Princesse - Boite de 125g;Sardine à l'huile végétale riche en Omega 3.Existe aussi en pimenté Petit poisson de la famille des Clupéidés, qui vit en bancs et dont la chair est estimée.;e-sar-125;Epicerie;Alpha;10;10;1
51;http://pprod.koomaakiti.com/img/p/51/51-a.jpg;Sardine Nature Abda - Boite de 125g;Petit poisson de la famille des Clupéidés, qui vit en bancs et dont la chair est estimée.;e-sar-125;Epicerie;Alpha;10;10;1
52;http://pprod.koomaakiti.com/img/p/52/52-a.jpg;Corn Chicken Senior - Boite de 190g;Corn Chicken en boite de 190g;e-cor-190;Epicerie;Alpha;10;10;1
53;http://pprod.koomaakiti.com/img/p/53/53-a.jpg;Corn Bœuf Chaya - Boite de 320g;Composé de viande bovine, de protéines de zinc, de phosphore. Contribue à la croissance, à l’amélioration des fonctions cognitives et aux développements des globules rouges. Utilisables dans toutes sortes de plats;e-cor-320;Epicerie;Alpha;10;10;1
54;http://pprod.koomaakiti.com/img/p/54/54-a.jpg;Corn Bœuf Chaya - Lot de 24 boites de 320g;Composé de viande bovine, de protéines de zinc, de phosphore. Contribue à la croissance, à l’amélioration des fonctions cognitives et aux développements des globules rouges. Utilisables dans toutes sortes de plats.;e-cor-24;Epicerie;Alpha;10;10;1
55;http://pprod.koomaakiti.com/img/p/55/55-a.jpg;Corn Bœuf N'Gaari - Boite de 320g;Contribue à la croissance, à l’amélioration des fonctions cognitives et aux développements des globules rouges. Utilisables dans toutes sortes de plats;e-cor-320;Epicerie;Alpha;10;10;1
56;http://pprod.koomaakiti.com/img/p/56/56-a.jpg;Corn Bœuf N'Gaari - Lot de 24 boites de 320g;Contribue à la croissance, à l’amélioration des fonctions cognitives et aux développements des globules rouges. Utilisables dans toutes sortes de plats.;e-cor-24;Epicerie;Alpha;10;10;1
57;http://pprod.koomaakiti.com/img/p/57/57-a.jpg;Corn Bœuf Armanti - Boite de 320g;Composé de viande poulet, d’eau, d’amidon de maïs, de sel, de sucre, d’épices. . Utilisables dans toutes sortes de plats.;e-cor-320;Epicerie;Alpha;10;10;1
58;http://pprod.koomaakiti.com/img/p/58/58-a.jpg;Corn Bœuf Armanti - Lot de 24 boites de 320g;Composé de viande poulet, d’eau, d’amidon de maïs, de sel, de sucre, d’épices. . Utilisables dans toutes sortes de plats.;e-cor-24;Epicerie;Alpha;10;10;1
59;http://pprod.koomaakiti.com/img/p/59/59-a.jpg;Corn Bœuf Senior - Boite de 190g;Contribue à la croissance, à l’amélioration des fonctions cognitives et aux développements des globules rouges. Utilisables dans toutes sortes de plats;e-cor-190;Epicerie;Alpha;10;10;1
60;http://pprod.koomaakiti.com/img/p/60/60-a.jpg;Cerelac riz Nestlé - Boite de 400g;Dès l'âge de 6 mois, aliment de sevrage à haute valeur nutritive et facile à digérer. Contient des protéines, du lait de haute qualité, ainsi que toutes les vitamines et sels minéraux jouant un rôle important dans la croissance de l'enfant.;e-cer-400;Enfant;Alpha;10;10;1
61;http://pprod.koomaakiti.com/img/p/61/61-a.jpg;Cerelac fruit Nestlé - Boite de 400g;Dès l'âge de 6 mois, aliment de sevrage à haute valeur nutritive et facile à digérer. Contient des protéines, du lait de haute qualité, ainsi que toutes les vitamines et sels minéraux jouant un rôle important dans la croissance de l’enfant.;e-cer-400;Enfant;Alpha;10;10;1
62;http://pprod.koomaakiti.com/img/p/62/62-a.jpg;Café en poudre Nescafé - Sachet de 100g;Café instantané pour une quantité nette de 100 grammes. Café corsé et intense idéal pour bien commencer la journée;l-caf-100;Boissons;Alpha;10;10;1
63;http://pprod.koomaakiti.com/img/p/63/63-a.jpg;Lait en poudre Pura - Sachet de 20g;Fabriqué à base de lait frais entier pasteurisé et séché par atomisation. Il est composé de tous les constituants du lait frais et fournit les mêmes saveurs;l-lai-20;Boissons;Alpha;10;10;1
64;http://pprod.koomaakiti.com/img/p/64/64-a.jpg;Cerelac céréale Nestlé - Boite de 400g;Dès l'âge de 6 mois, aliment de sevrage à haute valeur nutritive et facile à digérer. Contient des protéines, du lait de haute qualité, ainsi que toutes les vitamines et sels minéraux jouant un rôle important dans la croissance de l’enfant;e-cer-400;Enfant;Alpha;10;10;1
